"","...1","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year","nh4_n_avg"
"200",200,"Q2",1035,1988-10-25,0.83,NA,2.32,5.05,NA,1988,47
"201",201,"Q3",1034,1988-10-25,0.69,163,2.44,3.49,NA,1988,53
"202",202,"Q1",1064,1988-11-01,0.86,143,2.72,4.28,NA,1988,51.3333333333333
"203",203,"Q2",1065,1988-11-01,0.81,218,2.33,3.9,NA,1988,62
"204",204,"Q3",1070,1988-11-01,0.74,202,2.68,3.75,NA,1988,53
"205",205,"Q1",1093,1988-11-07,0.87,137,2.73,4.34,NA,1988,47.5
"206",206,"Q2",1090,1988-11-07,0.86,225,2.35,5.23,NA,1988,62
"207",207,"Q3",1091,1988-11-07,0.69,194,2.76,3.94,NA,1988,47.5
"208",208,"Q1",1081,1988-11-15,0.99,130,2.68,4.22,NA,1988,46
"209",209,"Q2",1082,1988-11-15,0.83,224,2.34,4.98,NA,1988,61
"210",210,"Q3",1079,1988-11-15,0.71,162,2.64,3.63,NA,1988,57
"211",211,"Q1",1100,1988-11-22,0.86,139,2.31,3.82,NA,1988,NA
"212",212,"Q2",1097,1988-11-22,0.8,224,2.25,4.87,NA,1988,NA
"213",213,"Q3",1099,1988-11-22,0.7,170,2.27,NA,NA,1988,NA
"214",214,"Q1",1117,1988-11-29,0.82,139,2.8,4.2,NA,1988,NA
"215",215,"Q2",1121,1988-11-29,0.82,208,2.59,4.2,NA,1988,NA
"216",216,"Q3",1122,1988-11-29,0.69,179,2.78,3.81,NA,1988,NA
"217",217,"Q1",1125,1988-12-06,0.82,139,2.5,4.24,NA,1988,NA
"218",218,"Q2",1132,1988-12-06,0.96,239,2.62,3.96,NA,1988,NA
"219",219,"Q3",1129,1988-12-06,0.67,198,2.78,3.88,NA,1988,NA
"220",220,"Q1",1159,1988-12-13,1.05,149,2.65,4.23,NA,1988,NA
"221",221,"Q2",1158,1988-12-13,0.87,220,2.25,1.3,NA,1988,NA
"222",222,"Q3",1157,1988-12-13,0.77,183,2.91,4.02,NA,1988,NA
"223",223,"Q1",1177,1988-12-20,0.93,156,2.75,4.26,NA,1988,NA
"224",224,"Q2",1178,1988-12-20,0.83,214,2.33,4.05,NA,1988,NA
"225",225,"Q3",1175,1988-12-20,0.77,205,2.79,3.98,NA,1988,NA
"226",226,"Q1",1184,1988-12-27,0.93,156,2.68,4.15,NA,1988,NA
"227",227,"Q2",1189,1988-12-27,0.83,227,2.42,5.21,NA,1988,NA
"228",228,"Q3",1186,1988-12-27,0.77,184,2.66,3.75,NA,1988,NA
"229",229,"Q1",1198,1989-01-03,0.23,NA,0.49,NA,NA,1989,NA
"230",230,"Q2",1194,1989-01-03,0.91,9,2.5,3.96,NA,1989,NA
"231",231,"Q3",1193,1989-01-03,0.75,165,2.87,4,NA,1989,NA
"232",232,"Q1",1209,1989-01-10,0.97,221,2.49,4.09,NA,1989,NA
"233",233,"Q2",1208,1989-01-10,1,421,1.97,4.92,NA,1989,NA
"234",234,"Q3",1207,1989-01-10,0.8,276,2.24,3.45,NA,1989,NA
"235",235,"Q1",1218,1989-01-17,0.99,10,2.73,4.43,NA,1989,NA
"236",236,"Q2",1217,1989-01-17,1,139,2.54,3.93,NA,1989,NA
"237",237,"Q3",1216,1989-01-17,0.78,10,2.72,3.83,NA,1989,NA
"238",238,"Q1",1220,1989-01-24,0.96,155,2.79,4.4,NA,1989,NA
"239",239,"Q2",1222,1989-01-24,0.94,222,2.66,4.08,NA,1989,NA
"240",240,"Q3",1223,1989-01-24,0.85,196,2.86,4.04,NA,1989,NA
"241",241,"Q1",1255,1989-01-31,0.99,171,2.87,4.48,NA,1989,NA
"242",242,"Q2",1258,1989-01-31,0.94,246,2.69,4.08,NA,1989,NA
"243",243,"Q3",1252,1989-01-31,0.82,219,2.89,3.94,NA,1989,NA
"244",244,"Q1",1287,1989-02-07,0.95,176,2.78,4.5,NA,1989,NA
